"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS 
","sur audition","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur audition","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur pièces","20","BASTIA","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur pièces","97","MAMOUDZOU","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur pièces","93","BOBIGNY","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur pièces","92","NANTERRE","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur pièces","31","SAINT-GAUDENS","FRANCE","Régalien",""
"RGPD","COMMUNE DE MAINCY","sur place","77","MAINCY","FRANCE","Collectivités territoriales",""
"RGPD","INSTITUT NATIONAL DE LA STATISTIQUE ET DES ÉTUDES ÉCONOMIQUES","sur place","92","MONTROUGE","FRANCE","Statistiques et enquêtes publiques ",""
"RGPD","MINISTÈRE DE L’ÉDUCATION NATIONALE, DE LA JEUNESSE ET DES SPORTS","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA CULTURE","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA TRANSITION ÉCOLOGIQUE","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DU TRAVAIL, DE L’EMPLOI ET DE L’INSERTION","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE L'EUROPE ET DES AFFAIRES ÉTRANGÈRES ","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","AGAPHONE SAS","sur place","14","CABOURG","FRANCE","Commerce",""
"RGPD","OGEC LA JOLIVERIE","sur place","44","SAINT-SEBASTIEN-SUR-LOIRE ","FRANCE","Éducation",""
