"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD"," showroomprive.com","en ligne","93","SAINT-DENIS","FRANCE","Commerce",""
"RGPD"," mondialrelay.fr","en ligne","59","VILLENEUVE D'ASCQ","FRANCE","Commerce",""
"RGPD"," intermarche.com","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","chronopost.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD"," hitek.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","medisite.fr","en ligne","75","PARIS","FRANCE","Santé ",""
"RGPD","largus.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","lacentrale.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","paruvendu.fr","en ligne","69","LYON","FRANCE","Commerce",""
"RGPD","deliveroo.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","sosh.fr","en ligne","92"," ISSY-LES-MOULINEAUX","FRANCE","Télécommunications",""
"RGPD","relaiscolis.com","en ligne","94","CRÉTEIL","FRANCE","Commerce",""
"RGPD","data.gouv.fr","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","lassuranceretraite.fr","en ligne","75","PARIS","FRANCE","Assurance",""
"RGPD","macif.fr","en ligne","79","NIORT","FRANCE","Assurance",""
"RGPD","norauto.fr","en ligne","59","VILLENEUVE D'ASCQ","FRANCE","Commerce",""
"RGPD","ovh.com","en ligne","59","ROUBAIX","FRANCE","Commerce",""
"RGPD","laposte.fr/digiposte","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","lagranderecre.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","mgen.fr","en ligne","75","PARIS","FRANCE","Assurance",""
"RGPD","gammvert.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","monoprix.fr","en ligne","92","CLICHY","FRANCE","Commerce",""
"RGPD","ubisoft.com","en ligne","94","SAINT-MANDÉ","FRANCE","Jeux",""
"RGPD","autoplus.fr","en ligne","92","BAGNEUX","FRANCE","Commerce",""
"RGPD","fr.ulule.com","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","salto.fr","en ligne","92","BOULOGNE-BILLANCOURT","FRANCE","Culture",""
"RGPD","meilleursagents.com","en ligne","75","PARIS","FRANCE","Immobilier",""
"RGPD","matmut.fr","en ligne","76","ROUEN","FRANCE","Assurance",""
"RGPD","antai.gouv.fr","en ligne","35","RENNES","FRANCE","Régalien",""
"RGPD","geev.com","en ligne","33","BORDEAUX","FRANCE","Commerce",""
"RGPD","interencheres.com","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","gensdeconfiance.fr","en ligne","44","NANTES","FRANCE","Commerce",""
"RGPD","compte-nickel.fr","en ligne","94","CHARENTON-LE-PONT","FRANCE","Banque",""
"RGPD","secu-independants.fr","en ligne","93","MONTREUIL","FRANCE","Santé ",""
"RGPD","justice.gouv.fr
justice.fr","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","etalab.gouv.fr","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","se-unsa.org","en ligne","75","PARIS","FRANCE","Social",""
"RGPD","snes.edu","en ligne","75","PARIS","FRANCE","Social",""
"RGPD","ligue-cancer.net","en ligne","75","PARIS","FRANCE","Santé ",""
"RGPD","cci.fr","en ligne","92","LEVALLOIS-PERRET","FRANCE","Régalien",""
"RGPD","france3-regions.francetvinfo.fr","en ligne","75","PARIS","FRANCE","Culture",""
"RGPD","retraitesdeletat.gouv.fr","en ligne","44","NANTES","FRANCE","Régalien",""
"RGPD","etudiant.gouv.fr","en ligne","92","VANVES","FRANCE","Éducation",""
"RGPD","certificat-air.gouv.fr","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","fonctionpublique-chequesvacances.fr","en ligne","75","PARIS","FRANCE","Tourisme",""
"RGPD","sida-info-service.org","en ligne","93","MONTREUIL","FRANCE","Santé ",""
"RGPD","inrae.fr","en ligne","75","PARIS","FRANCE","Collectivités territoriales",""
"RGPD","pre-plainte-en-ligne.gouv.fr","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","univ-paris8.fr","en ligne","93","SAINT-DENIS","FRANCE","Éducation",""
"RGPD","eureennormandie.fr","en ligne","27","ÉVREUX","FRANCE","Collectivités territoriales",""
"RGPD","entreprises.gouv.fr","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","departement13.fr","en ligne","13","MARSEILLE","FRANCE","Collectivités territoriales",""
"RGPD","herault.fr","en ligne","34","MONTPELLIER","FRANCE","Collectivités territoriales",""
"RGPD","bourgognefranchecomte.fr","en ligne","25","BESANCON","FRANCE","Collectivités territoriales",""
"RGPD","ille-et-vilaine.fr","en ligne","35","RENNES","FRANCE","Collectivités territoriales",""
"RGPD","unsa.org","en ligne","93","BAGNOLET","FRANCE","Éducation",""
"RGPD","RETRAVAILLER DANS L'OUEST","sur place","44","NANTES","FRANCE","Travail",""
"RGPD","APERAM STAINLESS FRANCE","sur place","93","SAINT-DENIS","FRANCE","Commerce",""
"RGPD","CENTRE HOSPITALIER D'ALÈS-CÉVENNES","sur place","30","ALÈS","FRANCE","Santé ",""
"RGPD","MÉTROPOLE DE LYON ","sur place","69","LYON","FRANCE","Collectivités territoriales",""
"RGPD","PÉNÉLOPE L'AGENCE","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","GINEYS SAS","sur place","38","REVENTIN-VAUGRIS","FRANCE","Commerce",""
"RGPD","CAMAIEU INTERNATIONAL","sur pièces","59","ROUBAIX","FRANCE","Commerce",""
"RGPD","IMMODIAGNOSCTIC.FR
","en ligne","13","MARSEILLE","FRANCE","Immobilier",""
"RGPD"," IMMOBILIER.BIGPIGE.COM","en ligne","75","PARIS","FRANCE","Immobilier",""
"RGPD","MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS ","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","FÉDÉRATION FRANÇAISE DE SAUVETAGE ET DE SECOURISME","sur pièces","75","PARIS","FRANCE","Régalien",""
"RGPD","FÉDÉRATION FRANÇAISE DE SAUVETAGE ET DE SECOURISME","en ligne","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS","en ligne","75","PARIS","FRANCE","Régalien",""
