"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","93","MONTREUIL","Régalien"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","93","MONTREUIL","Régalien"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","93","MONTREUIL","Finances publiques"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","93","MONTREUIL","Finances publiques"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","93","MONTREUIL","Régalien"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","93","MONTREUIL","Finances publiques"
"LOI 78","sur place","MINISTERE DE L'ECONOMIE - TRACFIN","69","LYON","Régalien"
"LOI 78","sur place","MINISTERE DE L'INTERIEUR","75","PARIS","Régalien"
"LOI 78","sur place","MINISTERE DE L'INTERIEUR","75","PARIS","Régalien"
"LOI 78","sur place","MONOP'","31","TOULOUSE","Commerce"
"LOI 78","sur place","MY MONEY TIME","64","BIARRITZ","Commerce"
"LOI 78","sur place","NEXITY","75","PARIS","Immobilier"
"LOI 78","sur place","NEXITY AIX MIRABEAU","13","AIX-EN-PROVENCE","Immobilier"
"LOI 78","sur place","PANDACRAFT","75","PARIS","Commerce"
"LOI 78","sur place","PANDACRAFT","75","PARIS","Commerce"
"LOI 78","sur place","PHARMACIE LEONARD DE VINCI","92","COURBEVOIE","Santé "
"LOI 78","sur place","PHARMACIE SAINT BARTHELEMY","13","MARSEILLE","Santé "
"LOI 78","sur place","PRIMAVISTA","92","COLOMBES","Commerce"
"LOI 78","sur place","R&L","69","LYON","Transports"
"LOI 78","sur place","RATP","75","PARIS","Santé/social"
"LOI 78","sur place","ROGERVOICE","75","PARIS","Commerce"
"LOI 78","sur place","SAINT QUENTIN MOBILITES","2","SAINT-QUENTIN","Transports"
"LOI 78","sur place","SAMASSUR","13","AIX-EN-PROVENCE","Assurances"
"LOI 78","sur place","SELECTOUR ENTREPRISE","31","TOULOUSE","Tourisme"
"LOI 78","sur place","SERGIC","59","WASQUEHAL","Immobilier"
"LOI 78","sur place","SERVICE A COMPETENCE NATIONALE TRACFIN","93","MONTREUIL","Finances publiques"
"LOI 78","sur place","SERVICE A COMPETENCE NATIONALE TRACFIN","93","MONTREUIL","Finances publiques"
"LOI 78","sur place","SESSAD E.C.L.A. DE ROUBAIX","59","ROUBAIX","Social"
"LOI 78","sur place","SINGLESPOT","75","PARIS","Commerce"
"LOI 78","sur place","SMART AUTO STOP","91","PALAISEAU","Transports"
"LOI 78","sur place","SNCF","75","PARIS","Social"
"LOI 78","sur place","SOCIETE ADTHINK MEDIA","69","TASSIN-LA-DEMI LUNE","Commerce"
"LOI 78","sur place","SOCIETE DES AUTOROUTES DU NORD ET DE L'EST DE LA FRANCE","92","ISSY-LES-MOULINEAUX","Transports"
"LOI 78","sur place","SPARTOO","38","GRENOBLE","Commerce"
"LOI 78","sur place","STOOTIE","75","PARIS","Commerce"
"LOI 78","sur place","TELEPERFORMANCE FRANCE","92","ASNIERES-SUR-SEINE","Commerce"
"LOI 78","sur place","TRAVELSPA","13","AIX-EN-PROVENCE","Tourisme"
"LOI 78","sur place","UNIONTRAD COMPANY","75","PARIS","Commerce"
"LOI 78","sur place","VECTAURY ","75","PARIS","Commerce"
"LOI 78","sur place","VECTAURY ","75","PARIS","Commerce"
"LOI 78","sur place","VENTE-UNIQUE.COM","93","LE PRE SAINT GERVAIS","Commerce"
"LOI 78","sur place","VENTE-UNIQUE.COM","93","LE PRE SAINT GERVAIS","Commerce"
"LOI 78","sur place","VOXTUR","75","PARIS","Transports"
"LOI 78","sur place","WEBHELP","75","PARIS","Commerce"
"LOI 78","sur place","ZENCHEF","75","PARIS","Commerce"
"LOI 78","sur pièces","BK CONSULTING FRANCE ","92","NANTERRE","Commerce"
"LOI 78","sur pièces","CAISSE NATIONALE DE L'ASSURANCE MALADIE DES TRAVAILLEURS (CNAMTS)","75","PARIS","Santé/social"
"LOI 78","sur pièces","CARREFOUR HYPERMARCHES","91","EVRY","Commerce"
"LOI 78","sur pièces","CLARANET OXALIDE   ","75","PARIS","Commerce"
