"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"VIDEOPROTECTION","sur place","BRICO-DEPOT","78","FLINS-SUR-SEINE","Commerce"
"VIDEOPROTECTION","sur place","BUT INTERNATIONAL","78","ORGEVAL","Commerce"
"VIDEOPROTECTION","sur place","CARREFOUR CHAMBOURCY","78","CHAMBOURCY","Commerce"
"VIDEOPROTECTION","sur place","CHÂTEAU DE LA PIOLINE","13","AIX-EN-PROVENCE","Commerce"
"VIDEOPROTECTION","sur place","COMMUNE DE DAIX","21","DAIX","Collectivités territoriales"
"VIDEOPROTECTION","sur place","COMMUNE DE MUTZIG","67","MUTZIG","Collectivités territoriales"
"VIDEOPROTECTION","sur place","ETABLISSEMENT PUBLIC CITE DE LA CERAMIQUE SEVRES ET LIMOGES","92","SEVRES ","Culture"
"VIDEOPROTECTION","sur place","HILTON PARIS LA DEFENSE","92","PUTEAUX","Commerce"
"VIDEOPROTECTION","sur place","HOTEL CARLTON DE LILLE","59","LILLE","Tourisme"
"VIDEOPROTECTION","sur place","HOTEL LA VILLA HAUSSMANN ","75","PARIS","Commerce"
"VIDEOPROTECTION","sur place","LEADER PRICE EXPLOITATION","78","VERSAILLES","Commerce"
"VIDEOPROTECTION","sur place","MK2 BIBLIOTHEQUE","75","PARIS","Culture"
"VIDEOPROTECTION","sur place","MUSEUM NATIONAL D'HISTOIRE NATURELLE","75","PARIS","Culture"
"VIDEOPROTECTION","sur place","NOVOTEL PARIS LA DEFENSE","92","LA DEFENSE","Commerce"
"VIDEOPROTECTION","sur place","PISCINE SUZANNE BERLIOUX","75","PARIS","Sport"
"VIDEOPROTECTION","sur place","SOCIETE ALIMENTAIRE VERSAILLES YVELINES","78","VERSAILLES","Commerce"
"VIDEOPROTECTION","sur place","SODICHAR","78","BUC","Commerce"
"VIDEOPROTECTION","sur place","STADE NAUTIQUE GABRIEL MENUT","91","CORBEIL-ESSONNES","Collectivités territoriales"
"VIDEOPROTECTION","sur pièces","PREFECTURE DE POLICE DE PARIS","75","PARIS","Régalien"
